                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.44208,                0.22832,                0.81612,                0.98814,                0.99678,                0.98796,                0.90296,                0.57194,                0.25434,                0.86263,             0.00028072,             0.00028072,             0.00028072
                     86,                0.44101,                0.22608,                0.81724,                0.98982,                0.99625,                0.98812,                0.90311,                0.57434,                0.25317,                0.86325,             0.00026422,             0.00026422,             0.00026422
                     87,                0.44339,                0.22607,                0.81528,                0.99105,                0.99647,                 0.9885,                 0.9021,                0.57541,                0.25438,                0.86378,             0.00024772,             0.00024772,             0.00024772
                     88,                0.43839,                0.22598,                0.81597,                0.98947,                0.99553,                0.98828,                0.90129,                0.57833,                0.25643,                0.86453,             0.00023121,             0.00023121,             0.00023121
                     89,                0.43151,                0.22275,                0.81494,                0.98746,                0.99786,                0.98878,                 0.9038,                 0.5714,                0.25293,                0.86331,             0.00021471,             0.00021471,             0.00021471
                     90,                0.42964,                0.21968,                0.81421,                0.98929,                0.99614,                0.98803,                0.90301,                0.57376,                0.25191,                0.86398,             0.00019821,             0.00019821,             0.00019821
                     91,                0.39508,                0.20383,                0.80806,                0.98779,                0.99676,                0.98868,                0.90394,                0.57364,                0.25187,                0.86442,              0.0001817,              0.0001817,              0.0001817
                     92,                0.38601,                0.19887,                 0.8056,                0.98864,                0.99708,                0.98909,                0.90264,                0.57553,                0.25166,                0.86257,              0.0001652,              0.0001652,              0.0001652
                     93,                0.38199,                0.19795,                0.80215,                0.98821,                0.99724,                 0.9891,                0.90337,                0.57104,                0.25272,                0.86127,              0.0001487,              0.0001487,              0.0001487
                     94,                0.37328,                0.19358,                0.80207,                0.98854,                 0.9973,                0.98842,                 0.9044,                  0.571,                0.24978,                0.86305,             0.00013219,             0.00013219,             0.00013219
                     95,                0.37233,                0.19287,                0.80311,                0.99111,                0.99608,                0.98905,                0.90408,                0.57522,                0.25188,                0.86626,             0.00011569,             0.00011569,             0.00011569
                     96,                  0.372,                0.19214,                0.80241,                0.98954,                0.99579,                0.98844,                0.90427,                0.57387,                0.25054,                0.86682,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.36746,                0.19068,                 0.8024,                0.99138,                0.99629,                 0.9888,                 0.9063,                0.56928,                0.24677,                0.86519,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.35939,                0.18649,                0.79976,                0.99095,                0.99618,                0.98892,                0.90603,                0.57159,                0.24723,                 0.8651,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.36128,                0.18651,                0.80302,                0.98989,                0.99695,                0.98864,                0.90471,                0.57204,                0.24824,                0.86576,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.35804,                0.18534,                0.80043,                0.99169,                0.99629,                0.98874,                0.90592,                0.57186,                0.24731,                0.86585,             3.3173e-05,             3.3173e-05,             3.3173e-05
